Question	Comment
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better communication of services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Complete projects and other activities faster
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	proporcionando mas informacion  sobre nuevas oportunidades de todo tipo  para los residentes.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	eliminating the use of paper. I don't think San Antonio should lose to much of its traditional character that's what makes our city unique. Many are not looking to create a digital world especially in San Antonio just a sprinkle of technology. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"It would be nice to have a central database of video that might be available in an area, from businesses or ring doorbells or traffic cameras - not storage, but something like the alarm permit system where police can look up an area, see if there is video, and find contact information for the person responsible for the video."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Locating information on housing support and other social services is confusing and frustrating. I work in a library and time and time again assist patrons through a very convoluted way to find the information they need, and they often require 2 or more trips to the library to conduct their research."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"As a pedestrian, i have to be careful when trying to use the crosswalk. I may have the right of way, but drivers don't respect pedestrian. They should have camera's or some type of technology to discourage drivers from ignoring pedestrian right of way. Any part of Hildebrand , San Pedro and Fredericksburg ."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"AI backed online chat service to answer common questions, making easy access to outage information."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Visually impaired people can have easier access to technology 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	do we use smart technology with SAPD on gunshots to alert SAPD before a call is even received?  being heard like South Bend Indiana has done. If not called in - police there canvas neighborhood and meet and talk with residents in area 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I like the 311 app but not it's gamification. I just need an app that won't collect personal data but will get the job done. If I see a problem then I can report it via the app. Simple. 
I would like an app that maps our park system with exceptional UX design. Something searchable, indexed, and well planned with functional links out to other city services. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"To provide the community with affordable internet in their homes so they can access public information, contact health services, and enhance their education."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Process applications efficiently.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Update old computers in all the public libraries.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Improved accessibility to learn about what public services are available and the importance of each of them.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More direct communication from City about neighborhood meetings and also services available.  Most people don't know about all the things the City offers.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Monitor and prioritize areas of the City to focus on improving clean air, water, and cooler temperatures,  ensure Safe sidewalks and streets for walking and wheeling connected to green space and convenient and affordable transportation options and services (library, school, parks grocery, etc.). "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Upgrading city video cameras and adding cameras to river walk/downtown area. To decrease crime.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	attempting to become carbon neutral
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	better interaction with the public
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Insure my personal information is not compromised.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	use it to notify public of road closures or emergencies
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	An open vote application for voting on public housing development. I think dense missing middle housing that is rent to own that matches the residential design aesthetic in defunct shopping spaces would be a better development utilization than twisting arms to build in the middle of established residential areas. This lessens housing demand and is not expecting private citizens to fill in those market demands with faulty solutions like casitas. It's also an easier fix than lobbying for zone changes if it's enacted by the city as an ordinance.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	awareness of programs & services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"To make services more efficient, less time consuming."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Measuring traffic data and building roads accordingly. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Ease 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Send out more Emergency alerts. Make technology easier for disable persons.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More free public Wi-Fi 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More integration with mobile apps and notifications. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Technology to improve public services --- have more Road Signs be visible to view when driving in the night hours - making sure that the street lights are working properly 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"public transport
"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Solar panels 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Use technology to Allow more public input and authority over decisions that City Council makes, must have voters approval before making changes or decisions on anything.   "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	climate change needs to be addressed
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	free access for low income neighborhoods 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More accessible for students in low income households. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Reduce the number of clicks to get to desired services and update all sites with current information.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Improve crime prevention and response by using technology such as smart cameras that can read license plates, used data to help reduce & prevent crime. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Improve efficiency, reduce spending, save energy. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	by being able to make transportation pick up and drop off easier also to be able to read the bus schedules online
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Crime suppression
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Access for all and making scheduling services more efficiently.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Two areas come to mind instantly:  1) Give me one secure place  I can go to submit payment for various city services/fees/etc... 2) Give me a central starting point for all City Services offered so I can easily find the help I need
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Having the most recenet information possible
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Create more and easier access to opportunities to work from home. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Outreach. The city needs to forward deploy engagement teams to neighborhoods in the most need of services using data driven decisions on locations and priorities, also using evidence based policies that have proven to positively impact people’s lives."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Reduce wait times by scheduling online appointments and filling out paperwork online
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I would like to see it used wisely and with purpose.  I would like to see technology used as a tool to help solve the problems SA is facing, not be employed for technologies sake."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I personally rather speak to someone in person about any type of legal assistance.  For those who have no mobile way then yes, Internet access  would be helpful with a chat person on the other end where you can receive guidence on what steps are needed to receive help on your issues."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Don't know
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"More mobile IKE kiosks to access City information and services in highly-visited areas like parks, health offices, near schools, etc."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Do not know
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"In order for technology to improve public services, specifically via computer or phone application, it should be easily available and accessible to all members of the public. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I would like green energy to be a larger portion of the energy businesses and consumers use. I'd like better batteries for that storage of green energy, but NO BATTARY BUSSES (electrified trams are better)."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Still able to access a person to talk to and not a machine.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	The thought of having city services on one webpage is an idea. a person can click on the service needed or interested in would be easier for the citizen to web surf. City libraries should have more computers for the public who cannot afford one due to many services going paperless. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More internet access to everyone .
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Everything needs to be more user friendly. The City is always purchasing/subscribing to programs with the lowest bidder and they never seem to be user friendly. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Hopefully being accessible to the people who need it. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Faster/more lines incase of imergencies
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	To improve environment such as litter and waste in San Antonio 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Free wifi
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Create a platform for acs where fosters and individuals with microchip scanners can sign up to help out those who find strays. There has to be some solutions besides holding a random dog you found for 7 days to get acs to come. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	VIA has used text messages and cellphones instead of paper tickets which helps reduce our footprint. If we could keep advancing to help ppl use their phones to get safe transportation would be wonderful. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Better access to information, developing user-friendly applications for citizens to use without roadblocks, and create more educational resources for citizens on their local government. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Secure and easy to use portals of City and County services
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"It's all about access. There needs to be more computers, WIFI, and better options for low-cost in-home internet. With only a handful of companies in town you're stuck with whichever one is where you live- Spectrum, Xfinity, etc. It makes no sense for my internet that cost $40 a month to jump to $70 a month simply because I'm going to continue using it. So many more people are working from home these days, access is EVERYTHING."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Walkable streets, protected bike lanes, food accessibility, Wifi for all"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Ease long slow processes and increase access 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Integrate traffic and population databases to implement and improve public transportation.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better ways to use technology to create alternative modes of transit other than cars.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better public outreach in time of public health crisis. Not covid since that was a world wide issue but during monkeypox. It was very hard to get access to vaccines. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Reduce crime, stop the know drug homes in E SA.
"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	providing real-time chat support and/or rapid response email support.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	FREE AND ACCESSIBLE TO USE FOR EVERYONE.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better internet infrastructure in City buildings to be able to provide a better experience for all who come through the city.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Everything from trash pickup to response times to public information and data could be improved with streamlined technology. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Be able to sign up on line for city services to avoid having to wait in line and getting a text message when you are up next.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Ways to more quickly and efficiently access the public services I need.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city with information seamlessly and constantly be transmitted between departments, services, and the city and its citizens. Where any citizen who is need of something can get on their device and easily access help/ resources online."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city with robust and diverse transportation infrastructure, built around the needs of the people living in it instead of cars."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	like the country of Switzerland with a national/regional/city public transport system with a govt app or Amsterdam with a walkable city
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Overpaying consultants to implement technology we don't need
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	cleaner cities with greater civil independence and self-sufficiency
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Open data and decisions based upon that insight. More engaged government and govt services through tech/G2C portals. Tech that eases public transport. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A city that measures its services utilizing the latest technology in an automated fashion to produce real-time information 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Expansion of the surveillance state
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Public dashboards that inform city residents of issues related to health and well-being, education, transportation, etc. Public dashboards are a way for city government to be transparent with residents. In addition to public dashboards, data gathered by the city and used for decision making should be publicly available for journalist and citizen data-scientists. Of course, privacy should be taken into consideration and efforts to ""anonymize"" data should be taken.  "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city that is involved, is engaged with residents, and anticipates needs rather than reacting passively to events."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"A city with affordable solar housing with lots of native plants growing in windowsills, alleyways, and streets, and a subway system for inexpensive and accessible transportation. As well as this, a smart city has walkable streets and public areas for people to hang out. Finally, a smart city has spaces for the homeless to stay. If not housing, they deserve areas protected from the elements for them to sit down and camp."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Hybrid, energy conserving"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Buildings with rooftop greenery, integrated solar/wind energy, and renewable and clean methods of agriculture "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Not living as if it were 1960 any longer. Using data to make decisions and not policies based on politics. Smart means not prioritizing cars and educating the population there are smarter options.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cleanliness for sure!
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Easy access to dashboards containing useful information in a real-time matter.  
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Fiber internet for ALL, public accessibility ports, massive public transport infrastructure "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"integrated services, increased efficiency (ex: smart lighting)"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Lots of electricity available, indoor garden, temperature control. Nature."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Easy connection to public services of all kinds; efficient public transportation; improved management of resources and services 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Gimmicky labeling used by politicians to make me feel like it’s worth voting for them.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Walkable cities, better public transportation, free-Wi-Fi, affordable housing, solutions for our increasing unhoused population "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	clear strategy to best use technology to improve the life style of its citizens and sustain such strategic objective
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A unnecessary but flashy dept funneling important funds from key city functions 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Increase smart traffic management of street lights. Increase access to wifi throughout the city. Plant more trees to decrease need for A/C power usage.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Spending money for things not in the city charter, quit for dung and lower taxes"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Equal to other cites our size and population 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Technology advanced usage in the community and available to all.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Clean air, smoke free, shade tree __, more park "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities that provide easy access to technology to everyone, regardless of income."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	they dont have ugly utility lines everywhere - is a smart city
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that use technology to improve services and hence quality of life for all citizens. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Much better public transportation.   Easily accessible wifi/internet for all. Stable energy grid and energy delivery.  Lots of green spaces for recreational and for wildlife.  
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Updated and modern
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Crowd sourcing as a solution to problems. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Sustainability, access to reliable public transportation, high walkability scores, equitable distribution of resources, sustainability , and connectivity "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Cities that use technology to make living, working, and commuting east, enjoyable, and affordable."
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Electric grid is reliable, cleaner energy (nuclear), traffic managed "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that are using technology to help their citizens. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Internet access and availability to services thru computer 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Inclusive,  progressive,  accessible,  sanitary,  sustainable,  resilient "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"The use of sensors to efficiently control traffic, EV infrastructure, city Wi-Fi, fast connection to city services, electronic payments like getting on a bus and autopay from my device"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"timed street signals, electric chargers for vehicles, clean, efficient public transit"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Cities that have more tech savvy populations perhaps due to language and/or age of its residents. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Eco friendly, carbon foot print, taking accountability for government spending and using funds in a positive way"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Technology to improve city services 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Environmentally smart, technology driven, and innovative transportation. "
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Trains.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	"Efficient, sustainable living"
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Easy interface between citizens and its government and our local government and State and Federal government entities.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A city where our children can go to school to learn rather than fear the possibility of harm. A city where our teachers do not have to live in fear of harm while passionately teaching. 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	City's with high speed internet access and options. Lots of places to get online and charge mobile devices.
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Connected services & connected communications 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	More eco-friendly and cost effective programs 
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	A technologically modern city
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Computer aided government.  AI
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	Opportunity for integration and sustainable development but also security risks
"Comments: 6. When you see the term ""smart cities"" what comes to mind? /Cuando ve el término ""ciudades inteligentes"", ¿qué viene a su mente? [#144541]"	More efficient cities. Cities with rapid public transit; where it’s easy to navigate via smart phone.
