Question	Comment
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Having fast free Wi-Fi in the city and surrounding areas (areas planned for annexation) to allow us to connect to services and the community.  Apps that will show when buses and trains are coming, yes trains we need transportation from north to downtown, river walk and Austin"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	cool concrete technology to reduce heat
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better sensors at heavy light traffic intersections. Better and/or adding street lighting for older existing neighborhoods. Use of cameras in the street for vigilance in high crime areas. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Public services and internet are great but the elderly still lack the tools and resources in low income areas to use these tools
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"More responsive, user-friendly systems "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I love that this year so many fitness opportunities have been available and posted online. Please allow more lap swimming at more of the pools in the downtown and south east side of town!
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"I'd like public campaigns to destigmatize and push mass transit like a rail system. I'd like more public info campaigns about how individual choices can reduce carbon footprints. I'd like technology to be used to find the nearest recycling bin or trash bin so people wouldn't throw their rubbish around. I'd like to use technology to really contribute how we can rethink our futures without a heavy reliance on fossil fuels, single-use plastics, and a shift away from individualism. "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Safer and monitored public safety so that EMS can quickly respond in emergencies.  Solid emergency preparedness  for combined city and county safety.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Better communication between all city services and our COSA citizens. 

"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	To lower my property taxes and get crosswalks and sidewalks for neighborhoods and schools. Use tech to design them then use tech to schedule the improvements.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More things online and easy to use. More robust high speed internet access and choices.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	AI & for there to be a central database for all City services so I can get updates & report issues & track progress…when I want updates.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Apps to help sign up for programs or locate certain services easier
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Improving service delivery
Extreme weather response "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Innovation, efficiency, transparency and accessibility"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"use machine learning to maximize energy efficiency, transit efficiency, and enhance sustainable economic development "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Access to tech and public health resources; better public transport - cities are for human beings, not cars"
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Installing public WiFi in heavily public-trafficked areas, providing technology for house less folks, create a safer and better public transit system."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Use existing traffic and mapping data from Google and Apple to determine the most common trips taken by citizens to prioritize public transit routes. Light rail from SAT to downtown to the med center would give business and tourist visitors an easy way to avoid the traffic. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"*SAFE* public transportation, better roads, and affordable healthcare option "
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Safety
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	By making it accessible to all making affordable to all.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	"Stay on top of social media posts to inform the masses as well as an easy to navigate website to keep myself updated with what’s going on in the city. I think having a public tv channel that only has city information (voting rights/locations, exactly what we’re voting on, who were voting for, development changes, issues in the city, etc) just keep us informed."
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Test
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Communication 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Making it affortable
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I would like our city to have more solar options.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	To make things more convenient 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Free to all
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	It can help look up transportation 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Well for starters to actually help police help the community a lot faster 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Utilize tech to inform the public
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	More devices that are able to help you get around quicker or even devices that get right to the source without having any trouble 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Find a better way to have a safer access to transport at all hours for all ages.
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Maybe create an app that has a list of all of the services the city has available 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Transportation technology for users should be easier 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better google map
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I would like technology to help older people understand how to use or creat a website 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Online education
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Make them more user friendly and accessible 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Create user friendly apps to register for programs
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	I want an app to pay for my water and wifi services. Also an app to bus transportation. 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Quality control with cost efficient services 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	All people to communicate 
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Mad internet gratuito
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Having accessible hotspot all around town
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	Better connect to getting someone attention
Comments: 5. How would you like technology to be used to improve public services? /¿Cómo le gustaría que se utilizara la tecnología para mejorar los servicios públicos? [#144540]	To provide info about healthy foods
